,MAE,RMSE,MAPE,sMAPE,MASE,MASE1,MEAN_ASE,RMSE avg,RMSE std
window_30_2,24.857349025939712,54.408309524895685,61.30398142540625,14.782495169531646,0.10401930695175407,-16.26151,0.08840520054984925,54.408309524895685,
window_30_3,26.396023022220575,56.48979989081697,32.82408464454871,14.244550280624916,0.07730944364863508,11.83254,0.07780342233981671,56.48979989081697,
window_30_4,28.71524092684532,62.63353979761193,79.10838067502257,18.135147057959543,0.11747569149656,46.13026,0.12490917926806276,62.63353979761193,
window_30_5,18.03268381230749,42.41092078455914,26.206195060828584,11.582620178808748,0.07038450898909215,5.42238,0.06602896172529926,42.41092078455914,
window_30_6,18.836079988179527,46.57545303465884,25.723547222257245,11.575899915239546,0.06780593952252842,20.95942,0.07411848334077205,46.57545303465884,
window_30_7,21.23304092488113,50.21453887621149,36.73602599512829,12.183446319888143,0.0797808002877262,2.97027,0.06571282596038498,50.21453887621149,
window_30_8,25.642068011056903,54.51474577991046,44.88892043061723,16.079970200913948,0.07611505228733108,-9.14896,0.09873492716064451,54.51474577991046,
window_30_9,25.637139539030183,57.30543512880131,40.903691840314664,14.932723111861122,0.09051708174738084,-5.44431,0.08858943997508338,57.30543512880131,
window_30_10,26.334336320334813,59.526880959641275,50.156344316127,14.876421948157747,0.10016511128664234,3.01138,0.10231338720593072,59.526880959641275,
window_30_11,14.33669795489168,36.00212301321785,21.953444783890166,10.249244166977276,0.051487976920098294,2.13401,0.062226766179853024,36.00212301321785,
window_30_12,11.331328662370177,32.354948923528504,18.488996744000673,8.472801072561925,0.050297787080519255,-38.3135,0.05654631565331196,32.354948923528504,
window_30_13,18.294920477059172,43.55052344574689,29.936713189293126,10.019218774316528,0.07026726485034739,-13.08117,0.05686375833245912,43.55052344574689,
window_30_14,29.061092300616924,62.390909009235436,47.24098678161299,15.629177483108027,0.09858113443985637,-36.53789,0.08986529745232452,62.390909009235436,
window_45_0,12.475723046677253,27.06220317828666,18.787197115121465,9.639717934053207,0.058848425082588036,-296.59968,0.04694136444623925,27.06220317828666,
window_45_1,13.313612372477916,32.30515116500303,21.77464041542685,9.427229272715278,0.07615879116731358,19.50286,0.05149988637645097,32.30515116500303,
window_45_2,17.429271306418414,36.60713729299646,38.961278170835286,12.368795745931227,0.07618450287211528,-11.02608,0.0640219450457387,36.60713729299646,
window_45_3,18.553357287534222,38.07941782769695,37.62152079202928,11.96235198007214,0.055698568720870235,8.23542,0.05622963789950848,38.07941782769695,
window_45_4,19.75001445309698,41.35203935467734,54.154866195626035,14.860408869232526,0.08367666906182164,31.56949,0.09015999385971102,41.35203935467734,
window_45_5,13.277448030585804,28.998253720993304,24.452857750248075,9.837937507582197,0.05324154925184569,4.38045,0.04975638685656125,28.998253720993304,
window_45_6,13.823505850739329,31.505713191938476,19.2339178157542,9.804226837523919,0.05016442882084876,17.66758,0.05587514074358323,31.505713191938476,
window_45_7,15.30882307741997,34.013095512133425,22.657302261130763,9.99888674286613,0.05921605961358925,2.35646,0.04840558006502054,34.013095512133425,
window_45_8,17.83481134580173,36.873600035977944,88.21294097346544,13.291576120786232,0.05446364862478608,-6.24199,0.07131051637695744,36.873600035977944,
window_45_9,18.013372242898622,38.857759241927454,38.373944022718625,12.15129425891767,0.06551889416395745,-4.03155,0.06398630957610535,38.857759241927454,
window_45_10,18.636913644526086,40.07947148647265,27.276047508981826,12.717556260577515,0.07326665296058057,2.08733,0.07560050520228215,40.07947148647265,
window_45_11,10.984423775886365,24.988793358494775,16.767885718906438,8.958715689614273,0.04031046100254468,1.68536,0.04861546199083592,24.988793358494775,
window_45_12,8.783746104336771,22.676007247257733,18.61936895675042,7.384463718022801,0.03962353761570938,-30.02305,0.04466044792724416,22.676007247257733,
window_45_13,13.347275183451586,30.46585060559965,22.31516908893955,8.332698174526698,0.05193552208516002,-9.61869,0.0422631280064949,30.46585060559965,
window_45_14,20.03602697439936,41.24197553120895,30.966530049392876,12.47621464636834,0.07073227084246715,-25.21405,0.0638887508318714,41.24197553120895,
