,Random Walk_RMSE,Random Walk_MASE,Mean Estimator_RMSE,Mean Estimator_MASE,Moving Avg Estimator: (h=60)_RMSE,Moving Avg Estimator: (h=60)_MASE,RMSE avg,RMSE std,MASE avg,MASE std
window_10_3,2534.5236839615286,5.246861942313032,440.7565486442275,1.0000389801079643,336.47056326314345,0.4765413781054224,1103.9169319563,1240.0385682908975,2.2411474335088064,2.6161521775601613
window_10_4,1997.1524885120161,5.876136503383358,367.42637753925,1.0004853487028076,356.2146730545903,0.6933684970360966,906.9311797019521,944.1759911250706,2.5233301163740873,2.9076731576506387
window_10_5,2204.0699211045735,5.780347851172697,378.7017261009377,1.0005598223950147,280.5595715398291,0.4908714501667217,954.44373958178,1083.3199738700946,2.4239263745781443,2.9178964007663204
window_10_6,1961.111533866289,5.478370004058088,363.8868589784831,1.0010078640939089,283.7767640032875,0.5108022045825239,869.5917189493531,946.1321454196872,2.3300600242448404,2.7375111312829428
window_10_7,2257.2404175470388,4.997804075676265,426.4903017859575,1.000724145362355,301.7333383867018,0.43687506378441954,995.154685906566,1094.7768587648359,2.1451344282743463,2.4865185570602946
window_10_8,2253.8552078848943,6.034480872314092,386.7791259468536,1.0002842652248845,340.35181071224787,0.6009821418119456,993.6620481813319,1091.60614404771,2.5452490931169742,3.028351755189584
window_10_9,2251.152773284115,5.398862594248041,403.2415622617412,1.0010595905821478,328.3632031955392,0.5162550475224151,994.2525129137985,1089.1512248321346,2.305392410784201,2.6899678795903292
window_10_10,2132.160138628598,5.732089695743395,386.68579220871186,1.001005642239603,342.5193793841155,0.5931191207153188,953.788436740475,1020.7387368291073,2.442071486232772,2.8565289632338593
window_10_11,1840.8122554878794,5.823899161165425,335.07768774912,1.0005917889468052,234.9618146829076,0.47348435593454,803.617252639969,899.6309812692425,2.432658435348923,2.948702393733813
window_10_12,1599.4301933145546,5.7869302174728565,277.05990222215377,1.000393626446315,217.5804009596186,0.4404899323664619,698.023498832109,781.2073824605965,2.4092712587618776,2.9385043930001986
window_10_13,2222.8962384639685,5.03010647046911,419.4184000972482,1.0004174485398452,291.1738288649586,0.4018487294610657,977.8294891420584,1080.164374163909,2.1441242161566736,2.5171891679052694
window_10_14,2439.621347845237,5.2795921082357795,435.73139320673215,1.0006603531798566,360.9964890795558,0.5187376861144626,1078.7830767105083,1179.112770947903,2.2663300491766996,2.6206628057958126
window_30_0,1943.6963139693798,5.419069373594217,348.147610409175,1.0007889710290383,189.95847077914007,0.3817505714524156,827.267465052565,970.0855539562043,2.2672029720252236,2.747089094849711
window_30_1,1775.7276823169348,5.070113719442081,343.23065675726673,1.0005884805189245,220.70661743433377,0.3960105520283266,779.8883188361783,864.5953177332851,2.1555709173297775,2.5421051172036484
window_30_2,1949.3828119524762,5.270426904956634,362.2814428153128,1.000427608253722,249.80402474072523,0.45631357904488445,853.8227598361714,950.448138111171,2.24238936408508,2.636431969706606
window_30_3,2294.5845754075476,5.082384812479124,409.70864884131447,1.0000843065775415,266.92298456802627,0.4145020801407977,990.4054029389628,1131.7064203697544,2.1656570663991546,2.542872823116447
window_30_4,1821.5957167771771,6.0058711453279985,320.01959705855575,1.0006231139067832,271.0387511482902,0.6144309496502746,804.2180216613411,881.415232286083,2.5403084029616854,3.0074706877859043
window_30_5,1996.3120265341217,5.499188314330929,359.56003926748514,1.000580840662814,222.15596937556145,0.42694394182765216,859.3426783923895,987.0382178852512,2.3089043656071317,2.7777146322183337
window_30_6,1879.6780691506967,5.617718086546281,338.4636279827534,1.0011561549210544,220.19408232437138,0.4475269232611949,812.7785931526072,925.852466795498,2.3554670549095102,2.838721133996514
window_30_7,2177.527796378506,5.047390533576112,401.39752884301043,1.0007873085284056,246.13880991308605,0.3773576791641538,941.6880450448675,1073.0802559376593,2.141845173756224,2.535510107290144
window_30_8,1995.736136673689,5.801675404967031,354.92443656514166,1.0003892626047446,273.1321348304335,0.5269219413463206,874.5975693564214,971.7953799542511,2.442995536306032,2.91831983702719
window_30_9,2101.8150817766814,5.4549505785791785,365.25882188993927,1.001185322994763,256.43886517420174,0.4452545349103644,907.8375896136073,1035.4453798191971,2.3004634788281018,2.7459709406978443
window_30_10,1915.2896138416663,5.691899899753203,347.27511895369554,1.0011257365993964,268.3983699722488,0.5335641816998187,843.6543675892036,928.900942587746,2.4088632726841395,2.8527882103150923
window_30_11,1812.4221005070096,5.927310059905959,319.75728843012473,1.0006412941204736,203.04185649883757,0.44271799400166906,778.4070818119907,897.3828152900368,2.456889782676034,3.0183906767779973
window_30_12,1526.816982489695,5.750228529238587,261.44007776475047,1.0004143559185248,173.13337079878448,0.3926642809116413,653.7968103510766,757.3458155588504,2.3811023886895843,2.933529998417552
window_30_13,2123.791290261392,4.9870606468176435,401.23160560966227,1.0004562063552127,230.79150344750803,0.34830976379299605,918.6047997728542,1047.1954520280922,2.1119422056552843,2.511185633056733
window_30_14,2180.172476331284,5.065179941529546,396.7815288028418,1.000682031744441,275.3045508654918,0.43820633079317506,950.7528519998726,1066.439695229219,2.1680227680223876,2.5247246373700136
window_45_0,1839.935204794407,5.207827702346646,340.3725608183125,1.0007949283813633,170.63118737747527,0.3554129232347599,783.6463176633982,918.7016345211018,2.188011851320923,2.635070267321428
window_45_1,1766.9503861685141,5.094758132978398,332.8253964790441,1.000602461682913,194.65329501115818,0.3714378266374235,764.8096925529054,870.62469512201,2.155599473766245,2.5647518890751044
