,Random Walk_RMSE,Random Walk_MASE,Mean Estimator_RMSE,Mean Estimator_MASE,Moving Avg Estimator: (h=5)_RMSE,Moving Avg Estimator: (h=5)_MASE,RMSE avg,RMSE std,MASE avg,MASE std
window_30_8,634.6207470016774,1.8873439847775693,354.7218866123055,0.999817364925446,152.19338133372221,0.2973513174031377,380.5120049825684,242.24551273551975,1.0615042223687177,0.7967892581241509
window_30_9,626.9808841529482,1.6724027858223334,365.03616154864824,1.000580421835627,148.79296640315187,0.2561271941466981,380.2700040349161,239.45766564915772,0.9763701339348861,0.7084481219004114
window_30_10,602.6215932093353,1.8187463027476631,347.06099619394126,1.000542841064676,159.38714079450884,0.30975271526760967,369.6899100659285,222.4820122147791,1.0430139530266496,0.7553927841046969
window_30_11,566.4142765660624,1.8922860628441942,319.5438256561738,1.0000276956856735,108.66472483370865,0.2335906267520242,331.54094235198164,229.11047801126935,1.0419681284272972,0.8301426909587076
window_30_12,473.8947481586294,1.824587748884906,261.2881654483438,0.9998400133173256,96.9211754074893,0.21429849615678578,277.3680296714875,189.0005030767533,1.0129087527863392,0.8052241696114217
window_30_13,659.1851293888932,1.5772203746217837,401.0248386625813,0.9999161696894765,129.61365930676504,0.19191579025331584,396.6078757860799,264.81336380935517,0.9230174448548588,0.6958464329713604
window_30_14,690.3727844774363,1.65140395302055,396.5525066413443,1.0001147924364573,161.6997605121616,0.25702669193126276,416.2083505436474,264.88404201986344,0.9695151457960901,0.6976920813235608
window_45_0,568.1269577380591,1.6506632211504957,340.1352354859437,1.0001529496633654,89.44474269661882,0.18789532684327567,332.56897864020726,239.43078735040876,0.9462371658857123,0.7328728825377997
window_45_1,552.6499877916419,1.6530574830634246,332.60377981493866,0.9999738648559501,99.50495895410509,0.19172216791983415,328.2529088535619,226.60384341099544,0.9482511719464028,0.7320393797759897
window_45_2,593.6260415668041,1.6833935421435446,349.30407744489395,0.9998931656448674,114.28352643410398,0.2232401235574735,352.404548481934,239.68629788522406,0.9688422771152952,0.730571775879006
window_45_3,699.8878638690425,1.6322503009572615,397.37357161230483,0.9994799560678775,119.24728326746926,0.19935648748998955,405.50290624960553,290.4056396173582,0.9436955815050428,0.7180738767718962
window_45_4,532.180566922142,1.8712303515374722,302.23698053529495,1.0001125256360932,120.83544215712287,0.29117364022022857,318.4176632048533,206.1493725086909,1.0541721724645978,0.7914143268895775
window_45_5,601.6714136057467,1.7387003464524995,350.4062940160002,1.0000509237605304,99.92312762522883,0.2023429132504643,350.6669450823252,250.87424454361724,0.9803647278211648,0.7683678808823993
window_45_6,580.3726303380964,1.8103615928931367,328.0053141460896,1.0005657869117182,99.48671750728353,0.21269507182387554,335.95488733048984,240.5414976155708,1.00787415054291,0.7988583336678745
window_45_7,656.9132495141233,1.6076610690045727,391.6814100040618,1.0002112068952616,105.50535294626471,0.17579953929703698,384.70000415481667,275.77023428947416,0.9278906050656236,0.718665125180603
window_45_8,609.8221625758354,1.8811574471557793,341.3108077241952,0.9998525260111643,119.83255992079293,0.25103072067327936,356.9885100736078,245.37073061131227,1.0440135646134077,0.81596013021223
window_45_9,612.0589312111399,1.6789785822969856,352.45107063777425,1.0006016541521163,113.71386281672022,0.211365016169737,359.4079548885448,249.24536199720683,0.9636484175396128,0.7345042893967944
window_45_10,572.311743205956,1.8033404752706754,331.69842265436455,1.0006256111341343,119.97819962226909,0.2582175783283618,341.32945516086323,226.3205166419954,1.0207278882443904,0.7727575737724057
window_45_11,555.5845034823475,1.892820773659637,312.1060732408609,1.0000268868031894,87.41079317555113,0.2066726256660885,318.36712329958647,234.14964513423124,1.0331734287096384,0.8435626320409085
window_45_12,460.59620771181704,1.8088168058239407,254.05543687367285,0.9998277696358011,78.43104695267104,0.19095717692590644,264.360897179387,191.29088950757813,0.9998672507952161,0.8089298151716209
window_45_13,645.9088968956257,1.5773752427350192,392.6139296810148,0.9999201278145655,104.5667070928982,0.16539955163043196,381.0298445565129,270.85694542734524,0.9142316407266722,0.7098772609980744
window_45_14,666.8836553549785,1.6393281985296926,382.71636407349206,1.0001041361358844,122.5289367198825,0.2104585870474371,390.70965204945105,272.2653749828898,0.9499636405710047,0.7157532002205661
