,LGBMRegressor_RMSE_0,LGBMRegressor_RMSE_1,LGBMRegressor_RMSE_2,LGBMRegressor_RMSE_3,LGBMRegressor_RMSE_4,LGBMRegressor_RMSE_5,LGBMRegressor_RMSE_6,LGBMRegressor_RMSE_7,LGBMRegressor_RMSE_8,LGBMRegressor_RMSE_9,average
window_10_5,33.821261654677066,20.121035763902892,11.49781081582643,17.65034847720496,13.21147879805325,19.035755146797985,14.175542095956308,13.13051389303349,16.24957303991351,14.316883110229528,17.321020279559544
window_10_6,79.96786807422167,15.942120675436067,37.420220374207425,20.004781583206874,15.758597532787183,3.591724360715825,23.516759327734036,14.682237738722861,17.943633142248522,27.055538745925915,25.588348155520638
window_10_7,24.816264774646367,42.29010981305271,20.473913560080803,19.710184827233643,20.656341423184553,13.08156211774195,9.348121720008214,13.770188091744947,16.723827538365537,24.335507039285744,20.52060209053445
window_10_8,28.743277082273664,27.347656320675995,24.315321155937237,14.701839228049876,14.991146771280793,11.088601255214774,17.506756328856714,19.970472934979664,20.586651624411566,22.776934108718397,20.202865681039864
window_10_9,26.624468066469444,26.19021748263598,23.591393114906978,14.983488846450578,28.771640358441292,14.435025106411366,19.32712380194711,18.35191148016979,16.15968580320032,18.073939216652974,20.65088932772858
window_10_10,56.66107061959233,31.173008366801625,20.712398877586814,21.01553963145342,23.0586816555158,25.581922386837995,14.551670773739717,27.639703416794497,25.944752035143043,15.320569768784758,26.165931753224996
window_10_11,20.373972155055213,14.270387035853041,12.992260885512305,14.373124741930576,8.23264416054916,7.560772484632339,23.25087238506929,19.551642490028406,18.956820139091224,10.78666055161001,15.034915702933155
window_10_12,26.510134241524106,22.441960727690088,3.803747726829544,3.8632249770882625,11.857202693849485,15.645756561764555,13.307740569944826,5.1418556794909085,20.485262447760658,31.352608949109367,15.440949457505178
window_10_13,45.42785003951491,60.81267414918544,33.481537749349954,25.817056772742905,35.88552500561035,22.020088296646705,18.478427420339365,26.662927537478325,45.639815245433134,14.014764850490199,32.82406670667913
window_10_14,91.63087324215374,28.871624838182736,30.215722284133104,21.79400769891026,22.844139163483582,19.185349479814537,23.490636298176,16.45949036602346,17.569014626753162,16.445991264608853,28.850684926223945
window_30_0,14.093939060701695,38.095787236946144,8.115812468166805,9.675151481076746,8.980344321005532,5.325806381390872,8.018158422179189,16.004824333216316,8.464748369019246,9.082003091149979,12.585657516485252
window_30_1,36.846529719369556,8.80704715209414,5.860855436831589,8.038361917320257,16.666381394544157,13.816525762266455,12.552417876373339,9.765731027197502,13.175338386919684,36.34025622745438,16.186944490037106
window_30_2,14.50528770976846,16.56975682996044,12.649443210681309,8.883438346917584,11.114472147213792,11.009620160598015,13.534912044770534,6.753277244647375,8.561500520560937,8.29679796680739,11.187850618192584
window_30_3,17.071139241521742,17.476338594424416,11.570100866260187,8.904179160046507,9.090527297982206,7.543417631156422,16.35481340516976,7.716572732031434,11.99139735123433,12.06282073102556,11.978130701085258
window_30_4,52.12722230271669,18.30404918539198,26.067325295887724,14.433501053081487,9.149645665837708,9.435086066359064,16.2313400655113,9.279562699979534,13.140516435346393,9.409852752651064,17.757810152276296
window_30_5,16.0772754166373,10.484379009468938,5.592058658783076,9.258946182146019,5.760795367875024,10.83132068767677,10.353607454216721,6.366760095484505,8.72441522146466,9.6117946071261,9.30613527008791
window_30_6,95.4041851424696,9.383068081847414,23.273976991659694,9.342584905579931,6.748239245485704,2.3229514798678803,15.517822719354509,9.621818400358563,9.470305187200442,13.94100105455338,19.50259532083771
window_30_7,15.53379143841715,43.79734194972911,11.234550019744884,12.38327751483161,10.68675527788491,9.472259080343404,5.469024097274915,7.4320582921257525,12.066704365824043,21.591878649256454,14.966764068543222
window_30_8,21.245039362715833,20.45480141008154,13.59133529543115,10.440782630507517,8.242006228841705,6.362326478490249,13.226335028068535,9.784901862360215,11.126098310490088,11.96685154019669,12.644047814718352
window_30_9,12.945015783200375,23.623354769171304,13.75013999836312,8.546804871483577,19.06840154967546,7.235766592978764,9.845668315148773,12.581797218700348,8.760438548272518,9.190584070465617,12.554797171745985
window_30_10,67.75064878852481,27.65694135985464,11.434339125679436,14.470148387534888,14.262217497916634,11.670124958228538,7.331746662528645,11.241648876376196,12.887186381058259,8.917708610661634,18.76227106483637
window_30_11,16.558267115619365,10.921571701450528,6.965420276334024,5.603349559222766,3.8590646603868763,3.4923771621542175,10.27863777382429,10.68818979322162,8.643186087312,5.245309270596651,8.225537340012234
